betid,playerid,betamount,date,bettype,risk,expectedvalue,recommended,prediction
BET-1,P1,10.00,2024-06-10,ANY_PAIR,2,0.85,12.00,
BET-2,P1,20.00,2024-06-10,ANY_PAIR,2,1.70,24.00,
BET-3,P1,15.00,2024-06-10,SYMBOL_APPEARANCE,1,0.45,18.00,CHERRY
BET-4,P2,25.00,2024-06-10,ANY_TRIPLE,5,6.25,35.00,
BET-5,P2,30.00,2024-06-10,ANY_PAIR,2,2.55,36.00,
BET-6,P3,50.00,2024-06-10,TRIPLE_SYMBOL,8,15.00,70.00,DIAMOND
BET-7,P3,40.00,2024-06-10,ANY_PAIR,2,3.40,48.00,
BET-8,P4,15.00,2024-06-10,PAIR_PREDICTION,3,1.20,20.00,CHERRY
BET-9,P4,20.00,2024-06-10,ANY_PAIR,2,1.70,24.00,
BET-10,P4,10.00,2024-06-10,SYMBOL_APPEARANCE,1,0.30,12.00,SEVEN
BET-11,P5,35.00,2024-06-10,ANY_TRIPLE,5,8.75,50.00,
BET-12,P5,45.00,2024-06-10,PAIR_PREDICTION,3,3.60,60.00,ORANGE
BET-13,P6,20.00,2024-06-10,ANY_PAIR,2,1.70,24.00,
BET-14,P6,25.00,2024-06-10,SYMBOL_APPEARANCE,1,0.75,30.00,BELL
BET-15,P7,60.00,2024-06-10,EXACT_PREDICTION,10,30.00,90.00,CHERRY;LEMON;ORANGE
BET-16,P7,50.00,2024-06-10,ANY_TRIPLE,5,12.50,70.00,
BET-17,P8,18.00,2024-06-10,ANY_PAIR,2,1.53,22.00,
BET-18,P8,12.00,2024-06-10,PAIR_PREDICTION,3,0.96,16.00,LEMON
BET-19,P9,28.00,2024-06-10,TRIPLE_SYMBOL,8,8.40,40.00,SEVEN
BET-20,P9,32.00,2024-06-10,ANY_PAIR,2,2.72,38.00,
BET-21,P10,40.00,2024-06-10,ANY_TRIPLE,5,10.00,56.00,
BET-22,P10,35.00,2024-06-10,ANY_PAIR,2,2.98,42.00,
BET-23,P1,18.00,2024-06-11,PAIR_PREDICTION,3,1.44,24.00,CHERRY
BET-24,P1,22.00,2024-06-11,ANY_TRIPLE,5,5.50,32.00,
BET-25,P2,30.00,2024-06-11,SYMBOL_APPEARANCE,1,0.90,36.00,DIAMOND
BET-26,P2,25.00,2024-06-11,ANY_PAIR,2,2.13,30.00,
BET-27,P3,55.00,2024-06-11,TRIPLE_SYMBOL,8,16.50,75.00,BELL
BET-28,P3,48.00,2024-06-11,PAIR_PREDICTION,3,3.84,64.00,SEVEN
BET-29,P4,12.00,2024-06-11,SYMBOL_APPEARANCE,1,0.36,15.00,CHERRY
BET-30,P4,15.00,2024-06-11,ANY_PAIR,2,1.28,18.00,
BET-31,P5,42.00,2024-06-11,ANY_TRIPLE,5,10.50,60.00,
BET-32,P5,38.00,2024-06-11,PAIR_PREDICTION,3,3.04,50.00,BELL
BET-33,P6,22.00,2024-06-11,ANY_PAIR,2,1.87,26.00,
BET-34,P6,18.00,2024-06-11,SYMBOL_APPEARANCE,1,0.54,22.00,ORANGE
BET-35,P7,65.00,2024-06-11,EXACT_PREDICTION,10,32.50,95.00,BELL;BELL;CHERRY
BET-36,P7,70.00,2024-06-11,TRIPLE_SYMBOL,8,21.00,100.00,DIAMOND
BET-37,P8,20.00,2024-06-11,ANY_PAIR,2,1.70,24.00,
BET-38,P8,24.00,2024-06-11,PAIR_PREDICTION,3,1.92,32.00,ORANGE
BET-39,P9,35.00,2024-06-11,ANY_TRIPLE,5,8.75,50.00,
BET-40,P9,30.00,2024-06-11,SYMBOL_APPEARANCE,1,0.90,36.00,SEVEN
BET-41,P10,38.00,2024-06-11,PAIR_PREDICTION,3,3.04,48.00,LEMON
BET-42,P10,32.00,2024-06-11,ANY_PAIR,2,2.72,38.00,
BET-43,P1,25.00,2024-06-12,ANY_TRIPLE,5,6.25,35.00,
BET-44,P2,28.00,2024-06-12,PAIR_PREDICTION,3,2.24,36.00,BELL
BET-45,P3,52.00,2024-06-12,ANY_PAIR,2,4.42,62.00,
BET-46,P4,14.00,2024-06-12,SYMBOL_APPEARANCE,1,0.42,18.00,DIAMOND
BET-47,P5,40.00,2024-06-12,TRIPLE_SYMBOL,8,12.00,56.00,SEVEN
BET-48,P6,20.00,2024-06-12,ANY_PAIR,2,1.70,24.00,
BET-49,P7,75.00,2024-06-12,ANY_TRIPLE,5,18.75,105.00,
BET-50,P8,22.00,2024-06-12,PAIR_PREDICTION,3,1.76,28.00,CHERRY
