gameid,playerid,betid,spinid,timestamp,betamt,bettype,prediction,spinsymbols,win,payout,balbefore,balafter,fraud
1,P1,BET-1,SPIN-1-12345,2024-06-10 10:15:30,10.00,ANY_PAIR,,CHERRY;CHERRY;LEMON,1,100.00,1000.00,1090.00,0.00
2,P1,BET-2,SPIN-2-12346,2024-06-10 10:16:45,20.00,ANY_PAIR,,ORANGE;ORANGE;BELL,1,200.00,1090.00,1270.00,0.00
3,P1,BET-3,SPIN-3-12347,2024-06-10 10:18:22,15.00,SYMBOL_APPEARANCE,CHERRY,CHERRY;LEMON;ORANGE,1,45.00,1270.00,1300.00,0.00
4,P2,BET-4,SPIN-4-12348,2024-06-10 11:20:10,25.00,ANY_TRIPLE,,SEVEN;SEVEN;SEVEN,1,625.00,1000.00,1600.00,15.00
5,P2,BET-5,SPIN-5-12349,2024-06-10 11:22:33,30.00,ANY_PAIR,,LEMON;ORANGE;BELL,0,0.00,1600.00,1570.00,0.00
6,P3,BET-6,SPIN-6-12350,2024-06-10 12:05:15,50.00,TRIPLE_SYMBOL,DIAMOND,DIAMOND;DIAMOND;DIAMOND,1,1500.00,2000.00,3450.00,25.00
7,P3,BET-7,SPIN-7-12351,2024-06-10 12:08:42,40.00,ANY_PAIR,,BELL;BELL;CHERRY,1,400.00,3450.00,3810.00,0.00
8,P4,BET-8,SPIN-8-12352,2024-06-10 13:30:20,15.00,PAIR_PREDICTION,CHERRY,CHERRY;CHERRY;LEMON,1,120.00,800.00,905.00,0.00
9,P4,BET-9,SPIN-9-12353,2024-06-10 13:32:55,20.00,ANY_PAIR,,ORANGE;LEMON;BELL,0,0.00,905.00,885.00,0.00
10,P4,BET-10,SPIN-10-12354,2024-06-10 13:35:10,10.00,SYMBOL_APPEARANCE,SEVEN,CHERRY;LEMON;ORANGE,0,0.00,885.00,875.00,0.00
11,P5,BET-11,SPIN-11-12355,2024-06-10 14:10:30,35.00,ANY_TRIPLE,,BELL;BELL;BELL,1,875.00,1500.00,2340.00,18.00
12,P5,BET-12,SPIN-12-12356,2024-06-10 14:12:45,45.00,PAIR_PREDICTION,ORANGE,ORANGE;ORANGE;CHERRY,1,360.00,2340.00,2655.00,0.00
13,P6,BET-13,SPIN-13-12357,2024-06-10 15:22:18,20.00,ANY_PAIR,,LEMON;LEMON;ORANGE,1,200.00,1100.00,1280.00,0.00
14,P6,BET-14,SPIN-14-12358,2024-06-10 15:25:30,25.00,SYMBOL_APPEARANCE,BELL,BELL;CHERRY;LEMON,1,75.00,1280.00,1330.00,0.00
15,P7,BET-15,SPIN-15-12359,2024-06-10 16:40:12,60.00,EXACT_PREDICTION,CHERRY;LEMON;ORANGE,CHERRY;LEMON;ORANGE,1,3000.00,3000.00,5940.00,85.50
16,P7,BET-16,SPIN-16-12360,2024-06-10 16:43:25,50.00,ANY_TRIPLE,,ORANGE;ORANGE;ORANGE,1,1250.00,5940.00,7140.00,72.30
17,P8,BET-17,SPIN-17-12361,2024-06-10 17:15:40,18.00,ANY_PAIR,,CHERRY;LEMON;BELL,0,0.00,1050.00,1032.00,0.00
18,P8,BET-18,SPIN-18-12362,2024-06-10 17:18:22,12.00,PAIR_PREDICTION,LEMON,LEMON;LEMON;CHERRY,1,96.00,1032.00,1116.00,0.00
19,P9,BET-19,SPIN-19-12363,2024-06-10 18:05:55,28.00,TRIPLE_SYMBOL,SEVEN,SEVEN;SEVEN;SEVEN,1,840.00,1800.00,2612.00,20.00
20,P9,BET-20,SPIN-20-12364,2024-06-10 18:08:10,32.00,ANY_PAIR,,BELL;BELL;ORANGE,1,320.00,2612.00,2900.00,0.00
21,P10,BET-21,SPIN-21-12365,2024-06-10 19:30:30,40.00,ANY_TRIPLE,,CHERRY;LEMON;ORANGE,0,0.00,1200.00,1160.00,0.00
22,P10,BET-22,SPIN-22-12366,2024-06-10 19:32:45,35.00,ANY_PAIR,,LEMON;CHERRY;BELL,0,0.00,1160.00,1125.00,0.00
23,P1,BET-23,SPIN-23-12367,2024-06-11 09:15:20,18.00,PAIR_PREDICTION,CHERRY,CHERRY;CHERRY;LEMON,1,144.00,1300.00,1426.00,0.00
24,P1,BET-24,SPIN-24-12368,2024-06-11 09:18:35,22.00,ANY_TRIPLE,,ORANGE;ORANGE;ORANGE,1,550.00,1426.00,1954.00,15.00
