playerid,time,currbal,recomstrategy,recomamt,expectreturn,risk,dp,greedy,kelly,confidence
P1,1717999200,1000.00,ANY_PAIR,12.00,0.85,2,moderate_bet,increase_gradually,conservative_stake,0.75
P2,1718003400,1000.00,ANY_TRIPLE,35.00,6.25,5,high_variance,balanced_approach,medium_stake,0.68
P3,1718007600,2000.00,TRIPLE_SYMBOL,70.00,15.00,8,aggressive_bet,maximize_wins,aggressive_stake,0.82
P4,1718013000,800.00,PAIR_PREDICTION,20.00,1.20,3,cautious_bet,steady_growth,safe_stake,0.70
P5,1718017800,1500.00,ANY_TRIPLE,50.00,8.75,5,moderate_bet,balanced_approach,medium_stake,0.73
P6,1718023200,1100.00,ANY_PAIR,24.00,1.70,2,low_variance,steady_growth,conservative_stake,0.77
P7,1718028600,3000.00,EXACT_PREDICTION,90.00,30.00,10,high_risk_high_reward,aggressive_growth,aggressive_stake,0.85
P8,1718034000,1050.00,PAIR_PREDICTION,22.00,1.53,3,moderate_bet,balanced_approach,safe_stake,0.72
P9,1718037600,1800.00,TRIPLE_SYMBOL,40.00,8.40,8,high_variance,maximize_wins,medium_stake,0.79
P10,1718042400,1200.00,ANY_TRIPLE,56.00,10.00,5,aggressive_bet,balanced_approach,medium_stake,0.65
P1,1718085600,1300.00,PAIR_PREDICTION,24.00,1.44,3,moderate_bet,steady_growth,safe_stake,0.76
P2,1718096400,1570.00,SYMBOL_APPEARANCE,36.00,0.90,1,low_variance,gradual_increase,conservative_stake,0.74
P3,1718103000,3810.00,TRIPLE_SYMBOL,75.00,16.50,8,aggressive_bet,maximize_wins,aggressive_stake,0.83
P4,1718110200,875.00,SYMBOL_APPEARANCE,15.00,0.36,1,cautious_bet,minimize_loss,safe_stake,0.68
P5,1718118600,2655.00,ANY_TRIPLE,60.00,10.50,5,high_variance,balanced_approach,medium_stake,0.78
P6,1718123400,1330.00,ANY_PAIR,26.00,1.87,2,moderate_bet,steady_growth,conservative_stake,0.75
P7,1718128800,7140.00,EXACT_PREDICTION,95.00,32.50,10,high_risk_high_reward,aggressive_growth,aggressive_stake,0.87
P8,1718136000,1116.00,ANY_PAIR,24.00,1.70,2,low_variance,steady_growth,safe_stake,0.73
P9,1718143500,2900.00,ANY_TRIPLE,50.00,8.75,5,moderate_bet,balanced_approach,medium_stake,0.80
P10,1718152200,1125.00,PAIR_PREDICTION,48.00,3.04,3,cautious_bet,minimize_loss,safe_stake,0.66
P1,1718172000,1954.00,ANY_TRIPLE,35.00,6.25,5,moderate_bet,balanced_approach,medium_stake,0.77
P2,1718182800,1855.00,PAIR_PREDICTION,36.00,2.24,3,moderate_bet,steady_growth,safe_stake,0.75
P3,1718189700,5741.00,ANY_PAIR,62.00,4.42,2,low_variance,maintain_gains,conservative_stake,0.81
P4,1718198400,884.00,SYMBOL_APPEARANCE,18.00,0.42,1,cautious_bet,minimize_loss,safe_stake,0.67
P5,1718203200,3929.00,TRIPLE_SYMBOL,56.00,12.00,8,aggressive_bet,maximize_wins,medium_stake,0.82
P6,1718208300,1564.00,ANY_PAIR,24.00,1.70,2,moderate_bet,steady_growth,conservative_stake,0.76
P7,1718213400,12355.00,ANY_TRIPLE,105.00,18.75,5,high_variance,aggressive_growth,aggressive_stake,0.89
P8,1718219400,1464.00,PAIR_PREDICTION,28.00,1.76,3,moderate_bet,balanced_approach,safe_stake,0.74
